
10,2759,
40,3628,
68,4434,
97,5110,
127,5927,
159,6352,
193,7454,
225,8147,
259,9059,
292,9952,
325,10586,
361,11541,
397,12513,
434,13490,
471,14274,
507,15166,
544,16263,
581,17315,
617,18003,
654,18943,
690,19880,
725,20655,
762,21877,
797,22735,
834,23658,
870,24606,
907,25401,
943,26344,
980,27354,
1015,28139,
1056,29218,
1095,30325,
1135,31372,
1175,32486,
1216,33317,
1255,34428,
1297,35390,
1337,36387,
1377,37617,
1417,38827,
1458,39583,
1499,40850,
1539,41939,
1580,42822,
1621,43858,
1661,44753,
1701,46039,
1742,47164,
1781,47979,
1822,49154,
1861,50118,
1902,51480,
1942,52208,
1981,53202,
2021,54409,
2060,55370,
2088,56074,
2116,56963,
2144,57598,
2173,58363,
2201,59022,
2229,59656,
2257,60527,
2285,61123,
2312,61974,
2341,62705,
2370,63507,
2398,64048,
2426,64871,
2454,65736,
2482,66450,
2510,67301,
2538,68113,
2566,68893,
2594,69233,
2622,70181,
2650,71080,
2678,71645,
2706,72299,
2734,73399,
2763,73981,
2791,74610,
2818,75439,
2847,76137,
2875,77273,
2903,77714,
2930,78268,
2958,79133,
2986,79931,
3015,80843,
3043,81569,
3072,82393,
3099,83106,
3127,83859,
3156,84580,
3183,85450,
3211,86076,
3239,86801,
3267,87627,
3295,88400,
3322,89206,
3351,90006,
3379,90778,
3407,91512,
3435,92181,
3464,93216,
3492,93821,
3520,94908,
3548,95645,
3576,96248,
3604,97026,
3632,97857,
3660,98504,
3688,99374,
3716,99964,
3744,100718,
3774,101627,
3805,102462,
3836,103674,
3867,104166,
3898,104780,
3928,106006,
3959,106863,
3989,107367,
4020,108516,
4059,109511,
4142,112102,
4228,114295,
4317,117054,
4374,116178,
4398,113253,
4371,120905,
4288,114464,
4212,112109,
4120,109268,
4038,107133,
3963,105108,
3877,102389,
3793,100182,
3709,97809,
3637,95753,
3563,93732,
3482,91468,
3410,89538,
3332,87112,
3262,85282,
3193,83453,
3117,81267,
3033,79139,
2946,76796,
2867,74502,
2784,72302,
2710,70209,
2635,68273,
2557,66117,
2489,64228,
2414,62417,
2343,60555,
2275,58775,
2205,56771,
2142,54982,
2072,53190,
2022,51675,
1981,50779,
1940,49844,
1899,48733,
1859,47584,
1818,46634,
1777,45391,
1736,44336,
1696,43264,
1657,42339,
1616,41344,
1577,40165,
1537,39210,
1496,38191,
1456,37246,
1415,35853,
1374,35020,
1333,33825,
1293,32851,
1252,31738,
1211,30798,
1170,29763,
1129,28676,
1089,27671,
1047,26593,
1007,25675,
968,24775,
931,23647,
894,22657,
858,21877,
822,20855,
786,20054,
750,18900,
713,18016,
677,17249,
641,16253,
604,15502,
567,14256,
531,13399,
495,12620,
459,11651,
423,10756,
387,9853,
353,8907,
322,8213,
289,7075,
257,6532,
225,5804,
192,4797,
161,4033,
129,3335,
98,2453,
69,1672,
40,1147,
11,184,
-13,-234,
-38,-1076,
-67,-1758,
-98,-2515,
-127,-3092,
-159,-3966,
-193,-4371,
-227,-5723,
-261,-6386,
-293,-7004,
-327,-7964,
-361,-8835,
-395,-9691,
-429,-10615,
-464,-11417,
-501,-12220,
-539,-13100,
-577,-14301,
-615,-15136,
-654,-16059,
-691,-16892,
-729,-17839,
